snapshot_date,entrydate,hospital_code,blood_bank_name,address,contact,hospital_type,A+,A-,B+,B-,O+,O-,AB+,AB-,source_file,district,area,city,latitude,longitude,BBRI,risk_class
2026-09-10,2026-09-10 09:37:10,18014,Bombay Hospital Trust Blood Centre,"MRC, Bombay Hospital 12, New Marine Lines,, Mumbai, Mumbai, Maharashtra","Phone: 9820302628 ,Fax: -, Email: bloodbankbombayhospital@gmail.com",Charitable/Vol,0,0,0,0,0,0,0,0,blood-avail-data-10-9-26.pdf,Mumbai,Marine Lines,Mumbai,18.94148,72.82846,49.80797400600827,Moderate Risk
2026-09-10,2026-09-10 09:58:13,18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,"plot no- 53, sheet no-20c, gvalipura,  SADAR BAZAR, paratwad, paratwada,  Amravati, Maharashtra","Phone: 9403621600 ,Fax: 1234567890, Email: rsburma1@gmail.com",Charitable/Vol,15,1,19,3,17,3,5,1,blood-avail-data-10-9-26.pdf,Amravati,Amravati,Amravati,21.29932,77.51773,21.011236258041656,Low Risk
2026-09-10,2026-09-10 07:27:13,18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,"35. Dr. E. Borges Road, Hospital Avenue, Opp. Shirodkar High, Parel, Mumbai,  Maharashtra","Phone: 9820168514,022 - 67670341 ,Fax: 67670121, Email:  rajeev.nikte@globalhospitalsindia.com",Private,18,4,14,2,15,2,6,0,blood-avail-data-10-9-26.pdf,Mumbai,Parel,Mumbai,18.9993,72.8406,20.05330973384072,Low Risk
2026-09-10,2026-09-10 10:00:28,18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre","Wing 1, Third Floor,East Block,Veer Savarkar Road, Mahim (W), Mumbai, Mumbai,  Maharashtra","Phone: 9152888133 ,Fax: -, Email: dr_adeshpande@yahoo.co.in",Charitable/Vol,12,0,0,0,10,0,0,0,blood-avail-data-10-9-26.pdf,Mumbai,Mahim,Mumbai,19.0335,72.83825,39.09759763648904,Moderate Risk
2026-09-10,2026-09-10 10:31:55,18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera","Opp.Shrihari hospital, Juni vasti(Old Town), Badnera,, Amravati, Amravati,  Maharashtra","Phone: 9422157239 ,Fax: 0, Email: sopanblood@gmail.com",Charitable/Vol,22,1,30,4,57,5,21,1,blood-avail-data-10-9-26.pdf,Amravati,Badnera,Amravati,20.794116,77.709547,17.615046189549243,Low Risk
2026-09-10,2026-09-10 08:19:04,18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre","2ND Floor, Abhinandan Building, Near Janata Homeopathic Coll, Akola, Akola,  Maharashtra","Phone: 9823243771 ,Fax: -, Email: drbptmbbakl@gmail.com",Charitable/Vol,4,1,26,1,11,0,16,0,blood-avail-data-10-9-26.pdf,Akola,Akola,Akola,20.724952,77.04278,25.07237623430416,Moderate Risk
2026-09-10,2026-09-10 09:32:47,18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank","Opp.Govt.Milk Dairy Vadgaon Gupta  M.I.D.C.,, Ahmednagar, Ahmadnagar,  Maharashtra","Phone: 9881573633 ,Fax: 2412779782, Email: bloodcentre.vimsmch@gmail.com",Charitable/Vol,22,0,12,1,43,1,11,1,blood-avail-data-10-9-26.pdf,Ahmadnagar,Vadgaon,Ahmednagar,19.19874,74.72329,19.39846444270116,Low Risk
2026-09-10,2026-09-10 11:00:12,18016,K.E.M. Hospital Blood Centre,"Acharya Donde Marg, Parel, Mumbai - 400012, Mumbai, Mumbai, Maharashtra","Phone: 02224107016 ,Fax: -, Email: bloodbankkem@gmail.com",Govt.,17,0,2,0,13,1,9,0,blood-avail-data-10-9-26.pdf,Mumbai,Parel,Mumbai,19.00153,72.84187,23.58027338027763,Low Risk
2026-09-10,2026-09-10 07:18:44,18017,Masina Hospital Blood Centre,"Sant Savta Marg, Byculla (E),, Byculla, Mumbai, Maharashtra","Phone: 9004362229 ,Fax: -, Email: bloodbank@masinahospital.coml.com",Charitable/Vol,0,0,0,0,0,0,0,0,blood-avail-data-10-9-26.pdf,Mumbai,Byculla,Mumbai,18.97464,72.83647,43.81679830565241,Moderate Risk
2026-09-10,2026-09-10 07:42:42,18138,Jankalyan Blood Centre,"Gadgil Patangan, Nalegaon, , Ahmednagar, Ahmadnagar, Maharashtra","Phone: 8378958696 ,Fax: 9028088589, Email:  jankalyanbloodbanknagar@rediffmail.com",Charitable/Vol,46,1,84,1,46,3,13,3,blood-avail-data-10-9-26.pdf,Ahmadnagar,Nalegaon,Ahmednagar,19.09462,74.73137,15.569646918848022,Low Risk
2026-09-10,2026-09-10 09:46:06,18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad","Regional Blood Bank, Govt medical college, Aurangabad , Jublee park, panchakki  road, Aurangabad, Aurangabad, Maharashtra","Phone: 9850176023 ,Fax: -, Email: bbgmchabad@gmail.com",Govt.,162,15,232,15,195,9,82,12,blood-avail-data-10-9-26.pdf,Aurangabad,Jublee Park,Aurangabad,19.87994,75.33247,2.1951492742862566,Low Risk
2026-09-10,2026-09-10 17:04:28,18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur","126, Kalyani Tower, Siddheshwar Peth, Near Yashodhara Hospit,  Near Pangal High  School, Behind Civil Court, Solapur., Solapur, Solapur, Maharashtra","Phone: 9730960093 ,Fax: 0, Email: siddheshwarbloodbank@gmail.com",Charitable/Vol,29,0,54,1,51,2,3,0,blood-avail-data-10-9-26.pdf,Solapur,Siddheshwar Peth,Solapur,17.669,75.9099,20.02126529191,Low Risk
2026-09-10,2026-09-10 07:55:52,18011,General Hospital Blood Centre,"Govt. General Hospital Blood Centre, near chota bazar, main road Chandrapur,  Chhota Bajar Chowk, Chandrapur , Chandrapur, Chandrapur, Maharashtra","Phone: 8879902477 ,Fax: 1234567890, Email: bbchandrapur@gmail.com",Govt.,14,2,10,5,65,4,10,2,blood-avail-data-10-9-26.pdf,Chandrapur,Chandrapur,Chandrapur,19.95428,79.29631,12.404740246757807,Low Risk
2026-09-10,2026-09-10 09:04:15,18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center","1st Floor, Alsi Complex, Ambapeth, Amravati, Amravati, Maharashtra","Phone: 9823045532 ,Fax: 0, Email: drckdara@yahoo.com",Charitable/Vol,11,3,22,3,23,0,18,0,blood-avail-data-10-9-26.pdf,Amravati,Ambapeth,Amravati,20.93041,77.75449,24.85692478791759,Low Risk
2026-09-10,2026-09-10 17:04:27,18132,Jeevandhara Blood Centre,"1648 E- ward saidarshan hights , opp sarada Medical,chandrak, Rajarampuri 7th  Lane, KOLHAPUR, Kolhapur, Maharashtra","Phone: 9822322223 ,Fax: -, Email: sjivandhara@yahoo.com",Charitable/Vol,0,0,63,0,0,0,0,0,blood-avail-data-10-9-26.pdf,Kolhapur,Rajarampuri,KOLHAPUR,16.69411,74.24156,41.68217054712251,Moderate Risk
